r,centro,modelo,consec.,desc.,descripción_actual,tipo,mod.,placa,atributos,fecha_adquisición,valor_ingreso,ubicación,observaciones,evidencias,origen
76,922710,DFI302,300421,ANTENA,ANTENA;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=WIRELESS;USO=N.A.;,4,INVE,92271016217,MARCA:SMAR;SERIAL: ;MODELO:DFI302;OBSERVACIONES:ANTENA WIRELESS,2023-06-09,"$18.170.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,1420,300433,COMPONENTE ELECTRONICO,COMPONENTE ELECTRONICO;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=PUERTA DE ENLACE INALAMBRICA INTELIGENTE;NOMBRE=SMART WIRELESS GATEWAY;,4,INVE,92271016226,MARCA:EMERSON;SERIAL:6702206.0;MODELO:1420.0;OBSERVACIONES:Smart wireless Gateway puerta de enlace inalámbrica inteligente,2023-06-09,"$9.227.200,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,445R,297419,COMPUTADOR PORTATIL,"TIPO ELEMENTO DEVOLUTIVO UNIDAD DE MEDIDA UNIDAD PROCESADOR AMD RYZEN 7 DISCO DURO 512 GB MEMORIA RAM DE 16 GB PANTALLA 14"" PULGADAS UNIDAD LECTORA N.A.",4,INVE,92271014722,MARCA:HP;SERIAL:5CD0037RKZ;MODELO:445R;OBSERVACIONES:Contiene mause maletin guaya y memoria Micro SD,2020-05-11,"$1.789.685,04",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,LM5p-DR,101319,CONTROLADOR LOGICO PROGRAMABLE (PLC),TIPO ELEMENTO=ELEMENTO DEVOLUTIVO;UNIDAD DE MEDIDA=UNIDAD;,4,INVE,92271013574,MARCA:LOGIC MACHINE;SERIAL:LM5M3V161805311;MODELO:LM5p-DR;OBSERVACIONES:Controlador Lógico Embebido power dr lm5p - Controlador lógico embebido multiprotocolo con servidor WEB SCADA embebido para programación visualización y monitoreo tensión de alimentación DC ó PoE (,2018-12-04,"$2.812.857,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,RCCT34,300422,FLUJOMETRO,FLUJOMETRO;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=MASICO DE CORIOLIS INTEGRAL Y DE TIPO REMOTO;CAPACIDAD=N.A.;CLASE=N.A.;,4,INVE,92271016216,MARCA:YOKOGAWA;SERIAL:D1P902009;MODELO:RCCT34;OBSERVACIONES:medidor de flujo másico de Coriolis integral y de tipo remoto,2023-06-09,"$26.528.200,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,.,102800,FUENTE DE ALIMENTACION CONTINUA,TIPO ELEMENTO=ELEMENTO DEVOLUTIVO;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE ALIMENTACION;,4,INVE,92271014021,MARCA:.;SERIAL:.;MODELO:.;OBSERVACIONES:Fuente de alimentación para bus protocolo DALI con capacidad de suministro de entre 200 & 240 mA para alimentar controladores y dispositivos bus protocolo DALI. Tensión de alimentación monofásica,2018-12-24,"$219.200,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,",",300427,INTERCAMBIADOR,INTERCAMBIADOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE CALOR;,4,INVE,92271016234,MARCA: ;SERIAL: ;MODELO: ;OBSERVACIONES:Intercambiadores de calor,2023-06-09,"$7.623.500,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,",",300427,INTERCAMBIADOR,INTERCAMBIADOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE CALOR;,4,INVE,92271016236,MARCA: ;SERIAL: ;MODELO: ;OBSERVACIONES:Intercambiadores de calor,2023-06-09,"$7.623.500,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,",",300427,INTERCAMBIADOR,INTERCAMBIADOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE CALOR;,4,INVE,92271016235,MARCA: ;SERIAL: ;MODELO: ;OBSERVACIONES:Intercambiadores de calor,2023-06-09,"$7.623.500,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XPS-10,300430,MAQUINAS Y HERRAMIENTAS,MAQUINAS Y HERRAMIENTAS;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=N.A.;DIMENSION=N.A.;NOMBRE=TRANSDUCTOR ULTRASONICO;POTENCIA=N.A.;,4,INVE,92271016240,MARCA:SIEMENS;SERIAL:YSN/CN208058688;MODELO:XPS-10;OBSERVACIONES:Transductor ultrasónico,2023-06-09,"$6.925.140,00",,,,ARIAS FIGUEROA JAIME DIEGO
